,0,1,2,3
73,"Practical SQL, 2nd Edition",A Beginner’s Guide to Storytelling with Data,By Anthony DeBarros,$39.99
74,Principles of Object-Oriented JavaScript,,By Nicholas C. Zakas,$24.95
75,Programming with OpenSCAD,A Beginner's Guide to Coding 3D-Printable Objects,By Justin Gohde and Marius Kintel,$29.99
76,"Python Crash Course, 2nd Edition","A Hands-On, Project-Based Introduction to Programming",By Eric Matthes,$39.95
77,"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming",By Eric Matthes,$44.99
78,Python Dash,,"By Adam Schroeder, Christian Mayer, and Ann Marie Ward",$34.99
79,Python Flash Cards,"Syntax, Concepts, and Examples",By Eric Matthes,$27.95
80,Python for Data Science,A Hands-On Introduction,By Yuli Vasiliev,$29.99
81,Python for Kids,A Playful Introduction to Programming,By Jason R. Briggs,$34.95
82,"Python for Kids, 2nd Edition",A Playful Introduction to Programming,By Jason R. Briggs,$34.99
83,Python One-Liners,"Write Concise, Eloquent Python Like a Professional",By Christian Mayer,$39.95
84,Python Playground,Geeky Projects for the Curious Programmer,By Mahesh Venkitachalam,$29.95
85,Racket Programming the Fun Way,From Strings to Turing Machines,By James W. Stelly,$49.95
86,Rails Crash Course,A No-Nonsense Guide to Rails Development,By Anthony Lewis,$34.95
87,Real-World Python,A Hacker's Guide to Solving Problems with Code,By Lee Vaughan,$34.95
88,Realm of Racket,"Learn to Program, One Game at a Time!","By Matthias Felleisen, David Van Horn, Conrad Barski, M.D., and Eight Students of Northeastern University",$39.95
89,Ruby by Example,Concepts and Code,By Kevin C. Baird,$29.95
90,Ruby Under a Microscope,An Illustrated Guide to Ruby Internals,By Pat Shaughnessy,$39.95
91,Ruby Wizardry,An Introduction to Programming for Kids,By Eric Weinstein,$25.95
92,Rust for Rustaceans,Idiomatic Programming for Experienced Developers,By Jon Gjengset,$39.99
93,Scratch 3 Programming Playground,,By Al Sweigart,$24.95
94,ScratchJr Coding Cards,Creative Coding Activities,By Marina Umaschi Bers and Amanda Sullivan,$24.95
95,Serious Python,"Black-Belt Advice on Deployment, Scalability, Testing, and More ",By Julien Danjou,$34.95
96,SparkFun Guide to Processing,Create Interactive Art with Code,By Derek Runberg,$29.95
97,Strange Code,14 Esoteric Programming Languages to Make You Think,By Ronald T. Kneusel,$49.99
98,Super Scratch Programming Adventure! (Scratch 3),,By The LEAD Project,$19.95
99,TCP/IP Guide ,"A Comprehensive, Illustrated Internet Protocols Reference",By Charles M. Kozierok,$99.95
100,Teach Your Kids to Code,A Parent-Friendly Guide to Python Programming,By Bryson Payne,$29.95
101,The Art of 64-Bit Assembly,x86-64 Machine Organization and Programming,By Randall Hyde,$79.99
102,The Art of Clean Code,Best Practices to Eliminate Complexity and Simplify Your Life,By Christian Mayer,$29.99
103,The Art of Machine Learning,Algorithms + Data + R,By Norman Matloff,$49.99
104,The Art of WebAssembly,"Build Secure, Portable, High-Performance Applications",By Rick Battagline,$44.99
105,The Big Book of Small Python Projects,81 Easy Practice Programs,By Al Sweigart,$39.99
106,The Book of Kubernetes,A Hands-on Deep Dive into Container Technology,By Alan Hohn,$59.99
107,The Coding Workbook,Build a Website with HTML & CSS,By Sam Taylor,$14.95
108,The CS Detective,"An Algorithmic Tale of Crime, Conspiracy, and Computation",By Jeremy Kubica,$17.95
109,The LEGO MINDSTORMS EV3 Laboratory,"Build, Program, and Experiment with Five Wicked Cool Robots!",By Daniele Benedettelli,$34.95
110,"The Linux Command Line, 2nd Edition",A Complete Introduction,By William Shotts,$39.95
111,The Missing README,A Guide for the New Software Engineer,By Chris Riccomini and Dmitriy Ryaboy,$24.99
112,The Official Scratch Coding Cards (Scratch 3.0),Creative Coding Activities for Kids,By Natalie Rusk and the Scratch Team,$24.95
113,The Recursive Book of Recursion,Ace the Coding Interview with Python and JavaScript,By Al Sweigart,$39.99
